,Group,Horse name,Role,Description,,,,,,,jsPsychText
1,1,Saffron Crest,Critical,Saffron Crest was bred stout and asserted without stick.,,,,,,,"{'race' : '1', 'horse' : 'Saffron Crest', 'role' : 'Critical', 'description' : 'Saffron Crest was bred stout and asserted without stick.'},"
2,1,Bold Pride,Filler,Bold Pride was from a shrewd yard and cruising.,,,,,,,"{'race' : '1', 'horse' : 'Bold Pride', 'role' : 'Filler', 'description' : 'Bold Pride was from a shrewd yard and cruising.'},"
3,1,Lightning Monarch,Filler,Lightning Monarch settled his own sums in the turf course.,,,,,,,"{'race' : '1', 'horse' : 'Lightning Monarch', 'role' : 'Filler', 'description' : 'Lightning Monarch settled his own sums in the turf course.'},"
4,1,Urban Legend,Filler,Urban Legend was in the mix with a generous weight.,,,,,,,"{'race' : '1', 'horse' : 'Urban Legend', 'role' : 'Filler', 'description' : 'Urban Legend was in the mix with a generous weight.'},"
5,2,Nightfall,Critical,Nightfall proved over the trip after running green.,,,,,,,"{'race' : '2', 'horse' : 'Nightfall', 'role' : 'Critical', 'description' : 'Nightfall proved over the trip after running green.'},"
6,2,Crystal Frontier,Filler,Crystal Frontier settled well in midfield.,,,,,,,"{'race' : '2', 'horse' : 'Crystal Frontier', 'role' : 'Filler', 'description' : 'Crystal Frontier settled well in midfield.'},"
7,2,Echo Fury,Filler,Echo Fury held under a tender ride.,,,,,,,"{'race' : '2', 'horse' : 'Echo Fury', 'role' : 'Filler', 'description' : 'Echo Fury held under a tender ride.'},"
8,2,Swift Valor,Filler,Swift Valor went through the bridle approaching the pole.,,,,,,,"{'race' : '2', 'horse' : 'Swift Valor', 'role' : 'Filler', 'description' : 'Swift Valor went through the bridle approaching the pole.'},"
9,3,Pale Corsair,Critical,Pale Corsair found plenty off the bridle.,,,,,,,"{'race' : '3', 'horse' : 'Pale Corsair', 'role' : 'Critical', 'description' : 'Pale Corsair found plenty off the bridle.'},"
10,3,Diamond Hood,Filler,Diamond Hood found under minimal cajoling.,,,,,,,"{'race' : '3', 'horse' : 'Diamond Hood', 'role' : 'Filler', 'description' : 'Diamond Hood found under minimal cajoling.'},"
11,3,Flint Sonata,Filler,"Flint Sonata, wind op, had been suited by the cut in the ground.",,,,,,,"{'race' : '3', 'horse' : 'Flint Sonata', 'role' : 'Filler', 'description' : 'Flint Sonata, wind op, had been suited by the cut in the ground.'},"
12,3,Vanya,Filler,Vanya reverted to the flat and the sand boded well.,,,,,,,"{'race' : '3', 'horse' : 'Vanya', 'role' : 'Filler', 'description' : 'Vanya reverted to the flat and the sand boded well.'},"
13,4,Air Ace,Critical,"Air Ace, gelded recently, made headway.",,,,,,,"{'race' : '4', 'horse' : 'Air Ace', 'role' : 'Critical', 'description' : 'Air Ace, gelded recently, made headway.'},"
14,4,Brave Horizon,Filler,Brave Horizon had them stretched before the furlong pole.,,,,,,,"{'race' : '4', 'horse' : 'Brave Horizon', 'role' : 'Filler', 'description' : 'Brave Horizon had them stretched before the furlong pole.'},"
15,4,Onyx Rune,Filler,Onyx Rune answered every question readily.,,,,,,,"{'race' : '4', 'horse' : 'Onyx Rune', 'role' : 'Filler', 'description' : 'Onyx Rune answered every question readily.'},"
16,4,Star Dust,Filler,Star Dust is a fettle that showed plenty on the gallops.,,,,,,,"{'race' : '4', 'horse' : 'Star Dust', 'role' : 'Filler', 'description' : 'Star Dust is a fettle that showed plenty on the gallops.'},"
17,5,Karerin,Critical,Karenin was placed and took it to the wire.,,,,,,,"{'race' : '5', 'horse' : 'Karerin', 'role' : 'Critical', 'description' : 'Karenin was placed and took it to the wire.'},"
18,5,Dark Mirage,Filler,Dark Mirage found the seam with first-time blinkers.,,,,,,,"{'race' : '5', 'horse' : 'Dark Mirage', 'role' : 'Filler', 'description' : 'Dark Mirage found the seam with first-time blinkers.'},"
19,5,Flashfire,Filler,Flashfire had a line to the judge being covered.,,,,,,,"{'race' : '5', 'horse' : 'Flashfire', 'role' : 'Filler', 'description' : 'Flashfire had a line to the judge being covered.'},"
