"","ppt","horse_name","length_description","origin","response","description","in_analysis"
"1",41,"Dark Mirage",8,"Created","7","Dark Mirage found the seam with first-time blinkers.","Yes"
"2",41,"Green Dusk",11,"Created","3","Green Dusk had a shade snug in the sands last time.","Yes"
"3",41,"Moss Relic",12,"Created","4","Moss Relic was always in the box seat under a cool ride.","Yes"
"4",41,"Velvet Thunder",12,"Created","4","Velvet Thunder held up in rear, the drop in trip should suit.","Yes"
"5",41,"Air Ace",6,"Created","7","Air Ace, gelded recently, made headway.","Yes"
"6",41,"Summer Breeze",9,"Created","8","Summer Breeze ran with credit with a tongue-tie fitted.","Yes"
"7",41,"Windchaser",9,"Created","8","Windchaser had the edge without showing in the turfs.","Yes"
"8",41,"Skybreaker",10,"Created","9","Skybreaker had undergone a wind operation and so travelled cleaner.","Yes"
"9",41,"Black Ember",8,"Created","7","Black Ember had matters in safekeeping turning in.","Yes"
"10",41,"Star Dust",11,"Created","7","Star Dust is a fettle that showed plenty on the gallops.","Yes"
"11",41,"Emerald",9,"Created","5","Emerald was a picture in running at 7 furlongs.","Yes"
"12",41,"Neon Charger",9,"Created","6","Neon Charger was let in lightly on prior evidence.","Yes"
"13",41,"Lunar Charger",9,"Created","8","Lunar Charger was bred for trip and came cruising.","Yes"
"14",41,"Copper Legacy",8,"Created","5","Copper Legacy hung left in the turf course.","Yes"
"15",41,"Estragon",11,"Attheraces","7","Estragon was left-handed and secured a hat-trick.","Yes"
"16",41,"Wave Rider",9,"Created","4","Wave Rider broke hearts late after dropping in class.","Yes"
"17",41,"Silversky",8,"Attheraces","3","Silversky began his handicap career last time out.","Yes"
"18",41,"Crystal Frontier",6,"Created","7","Crystal Frontier settled well in midfield.","Yes"
"19",41,"Silver Phantom",10,"Created","6","Silver Phantom heard the clock tick in the last furlong.","Yes"
"20",41,"Red Meridian",8,"Created","6","Red Meridian caught the eye at the flats.","Yes"
"21",41,"Nimbus Crest",12,"Created","7","Nimbus Crest is a sharp sire who settled and saw it out.","Yes"
"22",41,"Diamond Hood",6,"Created","3","Diamond Hood found under minimal cajoling.","Yes"
"23",41,"Karerin",11,"Attheraces","4","Karenin was placed and took it to the wire.","Yes"
"24",41,"Bramble Halo",9,"Created","6","Bramble Hallo was known for sitting handy and traveling.","Yes"
"25",41,"Oblique Runner",9,"Created","4","Oblique Runner switched yards, hitting rising ground on steel.","Yes"
"26",41,"Crimson Eclipse",10,"Created","5","Crimson Eclipse was from an in-from yard and always covered.","Yes"
"27",41,"Onyx Rune",7,"Created","8","Onyx Rune answered every question readily.","Yes"
"28",41,"Scarlet Racer",12,"Created","6","Scarlet Racer was a yard in form and picked up once angled.","Yes"
"29",41,"Blue Horizon",9,"Gemini","6","Blue Horizon raced without the cheekpieces.","Yes"
"30",41,"Electric Stride",10,"Created","6","Electric Stride was by Miller and came widest, always holding.","Yes"
"31",41,"Echo Fury",7,"Created","7","Echo Fury held under a tender ride.","Yes"
"32",41,"Desert Flower",9,"Created","5","Desert Flower ran in snatches, still on the bridle.","Yes"
"33",41,"Silent Eclipse",8,"Created","8","Silent Eclipse travelled into the dip, digging deep.","Yes"
"34",41,"Celestial Queen",10,"Created","4","Celestial Queen answered every call in a field of fillies.","Yes"
"35",41,"Ticker Pike",6,"Created","8","Ticker Pike had it written beforehand.","Yes"
"36",41,"Flint Sonata",13,"Created","2","Flint Sonata, wind op, had been suited by the cut in the ground.","Yes"
"37",41,"Swift Valor",9,"Created","4","Swift Valor went through the bridle approaching the pole.","Yes"
"38",41,"Pale Corsair",7,"Created","5","Pale Corsair found plenty off the bridle.","Yes"
"39",41,"Golden Tempest",7,"Created","7","Golden Tempest did mind the business end.","Yes"
"40",41,"Gilded Lily",9,"Created","9","Gilded Lily charged to the line on the gallops.","Yes"
"41",41,"Auric Vale",9,"Created","8","Auric Vale took the measure in first-time hood.","Yes"
"42",41,"Stockman",13,"Attheraces","6","Stockman led them a merry dance after being pipped.","Yes"
"43",41,"Royal Rebel",8,"Created","4","Royal Rebel was visored for the first time.","Yes"
"44",41,"Bold Pride",9,"Created","5","Bold Pride was from a shrewd yard and cruising.","Yes"
"45",41,"Vladimir",12,"Attheraces","3","Vladimir was narrowly beaten in a fair maiden on the turf course.","Yes"
"46",41,"Vanya",10,"Attheraces","4","Vanya reverted to the flat and the sand boded well.","Yes"
"47",41,"Ruby Ash",9,"Created","6","Ruby Ash had a stripped fitter for the reappearance.","Yes"
"48",41,"Flashfire",9,"Created","5","Flashfire had a line to the judge being covered.","Yes"
"49",41,"Lovelace",12,"Attheraces","6","Lovelace was first-time hooded and worked the oracle.","Yes"
"50",41,"Solar Flash",11,"Created","6","Solar Flash had a bit to spare in a quiet sit.","Yes"
"51",41,"Port Louis",13,"Attheraces","9","Port Louis is a Michael Madgwick-trained and ran a stormer at Doncaster .","Yes"
"52",41,"Urban Legend",11,"Created","6","Urban Legend was in the mix with a generous weight.","Yes"
"53",41,"Nightfall",8,"Created","6","Nightfall proved over the trip after running green.","Yes"
"54",41,"Steady Fighter",9,"Created","4","Steady Fighter had afterburners, scrambling home the last furlong.","Yes"
"55",41,"Indigo Marc",9,"Created","6","Indigo Marc found another leg in the last furlong.","Yes"
"56",41,"Gallant Storm",11,"Created","3","Gallant Storm was out of a stager and sat box seat.","Yes"
"57",41,"Brave Horizon",9,"Created","6","Brave Horizon had them stretched before the furlong pole.","Yes"
"58",41,"Saffron Crest",9,"Created","6","Saffron Crest was bred stout and asserted without stick.","Yes"
"59",41,"Comet Stride",7,"Created","4","Comet Stride had claimer and came widest.","Yes"
"60",41,"Midnight Inferno",6,"Created","8","Midnight Inferno nursed it through gears.","Yes"
"61",41,"Lightning Monarch",10,"Created","8","Lightning Monarch settled his own sums in the turf course.","Yes"
"62",41,"Blue Blaze",9,"Created","4","Blue Blaze hit the rising ground on the steel.","Yes"
"63",41,"Worthing",9,"Created","7","Worthing flowed in the turf course running in blinkers.","Yes"
"64",41,"Leeloo",12,"Created","6","Leeloo was on a string despite being collared in the closing stages.","Yes"
"65",40,"Moss Relic",12,"Created","1","Moss Relic was always in the box seat under a cool ride.","Yes"
"66",40,"Electric Stride",10,"Created","7","Electric Stride was by Miller and came widest, always holding.","Yes"
"67",40,"Lightning Monarch",10,"Created","4","Lightning Monarch settled his own sums in the turf course.","Yes"
"68",40,"Red Meridian",8,"Created","1","Red Meridian caught the eye at the flats.","Yes"
"69",40,"Swift Valor",9,"Created","1","Swift Valor went through the bridle approaching the pole.","Yes"
"70",40,"Silversky",8,"Attheraces","1","Silversky began his handicap career last time out.","Yes"
"71",40,"Diamond Hood",6,"Created","6","Diamond Hood found under minimal cajoling.","Yes"
"72",40,"Comet Stride",7,"Created","7","Comet Stride had claimer and came widest.","Yes"
